ID_Anuncio,Marca,Modelo,Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Carroceria,Preco_Real,Percentual_FIPE,Estado
69589047,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2021,2022.0,40300.0,Automática,Sedã,124900.0,109.0,São Paulo (SP)
66943457,TOYOTA,COROLLA,2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2023,2023.0,49000.0,Automática,Sedã,199900.0,139.0,São Paulo (SP)
69515979,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2022,2023.0,83000.0,Automática,Sedã,144900.0,100.0,São Paulo (SP)
66941769,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2012,2013.0,146000.0,Automática,Sedã,68900.0,104.0,São Paulo (SP)
67570959,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2015,2016.0,102000.0,Automática,Sedã,81990.0,105.0,São Paulo (SP)
64949633,TOYOTA,COROLLA,2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024.0,26000.0,CVT,Sedã,130000.0,103.0,São Paulo (SP)
69450523,TOYOTA,COROLLA,2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023.0,36669.0,Automática,Sedã,125900.0,99.0,São Paulo (SP)
69234127,TOYOTA,COROLLA,2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2011,2012.0,201937.0,Automática,Sedã,57500.0,88.0,São Paulo (SP)
69344153,TOYOTA,COROLLA,2.0 XEI 16V FLEX 4P AUTOMÁTICO,2010,2011.0,206000.0,Automática,Sedã,54900.0,94.0,São Paulo (SP)
67837061,TOYOTA,COROLLA,1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2021,2022.0,16000.0,CVT,Sedã,150000.0,111.0,São Paulo (SP)
69077919,TOYOTA,COROLLA,1.8 XEI 16V FLEX 4P AUTOMÁTICO,2010,2010.0,128000.0,Automática,Sedã,54990.0,99.0,São Paulo (SP)
68849022,TOYOTA,COROLLA,1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2017.0,59570.0,Automática,Sedã,83000.0,102.0,São Paulo (SP)
