Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Preco_Real,Percentual_FIPE
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2013,2014,216000,Automático,63900.0,98.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2019,2020,77000,Automático,146990.0,118.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2025,2025,2000,Automático,169900.0,107.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,18000,Automático,189880.0,133.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2025,2026,2000,Automático,187990.0,100.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2019,2020,97000,Automático,145880.0,116.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2012,2013,130000,Automático,62700.0,94.0
1.8 SE-G 16V FLEX 4P AUTOMÁTICO,2009,2010,110000,Automático,59900.0,105.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2011,2011,145000,Automático,56800.0,97.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2018,2019,89000,Automático,101790.0,99.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2023,2023,81769,Automático,137990.0,96.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2021,2022,36000,Automático,119900.0,105.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2021,2022,104237,Automático,119990.0,94.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2016,98000,Automático,86790.0,103.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2021,2022,55738,Automático,124990.0,92.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021,55000,Automático,119900.0,100.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2020,60529,Automático,118980.0,102.0
2.0 VVT-IE FLEX GR-S DIRECT SHIFT,2023,2023,41000,Automático,144890.0,105.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2016,2017,129499,Automático,86900.0,99.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,34000,Automático,134900.0,106.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2014,2015,108658,Automático,79990.0,106.0
1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO,2015,2016,147000,Automático,82900.0,106.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2024,29000,Automático,189900.0,133.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2026,2026,0,Automático,196800.0,104.0
1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO,2019,2019,107346,Automático,98790.0,112.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2025,2026,0,Automático,201990.0,107.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2022,2023,77389,Automático,116890.0,92.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2022,2023,87300,Automático,118700.0,100.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2021,2022,63504,Automático,155900.0,116.0
